"gender";"age_donor_cat";"region";"donor_yes_no";"bonus_status";"sum_confirmed_donations";"sum_count_bonuses_taken";"sum_unconfirmed_donations";"cnt_donor";"cnt_networks";"cnt_connection_donor"
Мужской;от_18_до_30;Россия, Татарстан, Казань;является донором;тратит_бонусы;976;260;24;97;60;93
нет_данных;нет данных;Россия, Приморский край, Владивосток;является донором;без_бонусов;241;0;8;97;76;89
нет_данных;нет данных;Россия, Краснодарский край, Новороссийск;не_является_донором;без_бонусов;0;0;8;97;77;67
нет_данных;нет данных;Беларусь, Минская область, Минск;является донором;без_бонусов;133;0;5;96;79;87
Женский;от_18_до_30;Россия, Самарская область, Самара;не_является_донором;без_бонусов;0;0;30;95;37;82
нет_данных;нет данных;Россия, Московская область, Подольск;не_является_донором;без_бонусов;0;0;12;95;72;71
Женский;от_30_до_40;Россия, Краснодарский край, Краснодар;не_является_донором;без_бонусов;0;0;29;95;33;87
Женский;от_30_до_40;Россия, Свердловская область, Екатеринбург;не_является_донором;без_бонусов;0;0;15;95;39;92
нет_данных;нет данных;Россия, Саха /Якутия/, Якутск;не_является_донором;без_бонусов;0;0;17;95;73;73
Мужской;от_30_до_40;Россия, Санкт-Петербург;является донором;тратит_бонусы;1352;294;65;95;48;93
Женский;старше_70;нет_данных;не_является_донором;без_бонусов;0;0;1;94;44;69
Мужской;от_18_до_30;Россия, Краснодарский край, Краснодар;не_является_донором;без_бонусов;0;0;19;94;45;82
Женский;нет данных;Россия, Москва;является донором;тратит_бонусы;615;215;30;94;41;85
нет_данных;нет данных;Украина, Полтавская область, Кременчуг;не_является_донором;без_бонусов;0;0;0;92;82;72
нет_данных;нет данных;Россия, Свердловская область, Нижний Тагил;не_является_донором;без_бонусов;0;0;13;91;76;65
нет_данных;нет данных;Россия, Архангельская область, Северодвинск;не_является_донором;без_бонусов;0;0;1;91;81;59
нет_данных;нет данных;_, Луганская область, Луганск;не_является_донором;без_бонусов;0;0;0;91;85;60
Женский;от_40_до_50;Россия, Санкт-Петербург;является донором;без_бонусов;770;0;97;91;43;90
Мужской;от_18_до_30;Россия, Башкортостан, Уфа;не_является_донором;без_бонусов;0;0;13;90;32;75
